query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
123,imgt:mAb_80,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_gastric_80,ERBB2,18,10,0.5556,0.3892,1.4275,8,scored
124,imgt:mAb_528,imgt:StudyProduct_MedImmune_Solid_tumors_528,CD274,18,14,0.7778,0.5904,1.3174,4,scored
125,imgt:mAb_1142,imgt:StudyProduct_Taizhou_Hanzhong_Pharmaceuticals_Inc_Cancers_gastrointestinal_1142,PDCD1,18,11,0.6111,0.591,1.0341,7,scored
126,imgt:mAb_419,imgt:StudyProduct_Symphogen_Cancers_colorectal_(CRC)_419,EGFR,18,9,0.5,0.4709,1.0617,9,scored
127,imgt:mAb_1366,imgt:StudyProduct_Lyvgen_Biopharma_Carcinoma_head_and_neck_squamous_cell_(HNSCC)_recurrent_or_metastatic_1366,TNFRSF9,18,13,0.7222,0.6383,1.1315,5,scored
128,imgt:mAb_80,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_prostate_80,ERBB2,18,8,0.4444,0.3974,1.1183,10,scored
129,imgt:mAb_1355,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_small_cell_lung_(SCLC)_1355,HAVCR2;PDCD1,18,14,0.7778,0.7583,1.0257,4,scored
130,imgt:mAb_80,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_ovarian_80,ERBB2,18,8,0.4444,0.393,1.1309,10,scored
131,imgt:mAb_1005,imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_1005,TACSTD2,18,8,0.4444,0.4233,1.0501,10,scored
132,imgt:mAb_501,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Solid_tumors_501,CSF1R,18,15,0.8333,0.7119,1.1706,3,scored
133,imgt:mAb_1555,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Cancers_1555,EGFR;CD28,18,17,0.9444,0.7606,1.2417,1,scored
134,imgt:mAb_180,imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_small_cell_lung_(SCLC)_180,CTLA4,18,7,0.3889,0.3294,1.1806,11,scored
135,imgt:mAb_825,imgt:StudyProduct_Stemline_Therapeutics_Inc_Acute_myeloid_leukemia_(AML)_825,,,,,,,,no_target_or_ot
136,imgt:mAb_1289,imgt:StudyProduct_MacroGenics_Inc_Melanoma_1289,CD276,18,10,0.5556,0.5092,1.091,8,scored
137,imgt:mAb_13,imgt:StudyProduct_University_Bath_Lymphoma_B_cell_13,CD19,18,8,0.4444,0.3797,1.1706,10,scored
138,imgt:mAb_722,imgt:StudyProduct_AstraZeneca_Cancers_breast_overexpressing_ERBB2_metastatic_722,ERBB2,18,9,0.5,0.3884,1.2874,9,scored
139,imgt:mAb_940,imgt:StudyProduct_Innate_Pharma_Solid_tumors_advanced_or_metastatic_940,C5AR1,18,9,0.5,0.4148,1.2054,9,scored
140,imgt:mAb_1056,imgt:StudyProduct_Amgen_Acute_myeloid_leukemia_(AML)_1056,CD3E;CD33,18,14,0.7778,0.6521,1.1927,4,scored
141,imgt:mAb_522,imgt:StudyProduct_Xencor_Inc_Non-Hodgkins_lymphoma_(NHL)_522,CD19,18,8,0.4444,0.3752,1.1845,10,scored
142,imgt:mAb_792,imgt:StudyProduct_University_of_Bern_Solid_tumors_792,CD70,18,13,0.7222,0.5857,1.2332,5,scored
143,imgt:mAb_882,imgt:StudyProduct_Millennium_Pharmaceuticals_Inc_Systemic_lupus_erythematosus_(SLE)_882,CD38,18,13,0.7222,0.6101,1.1837,5,scored
144,imgt:mAb_294,imgt:StudyProduct_ImClone_Systems_Inc_Solid_tumors_294,EGFR,18,11,0.6111,0.4656,1.3126,7,scored
145,imgt:mAb_801,imgt:StudyProduct_Jounce_Therapeutics_Solid_tumors_801,ICOS,18,9,0.5,0.4302,1.1622,9,scored
146,imgt:mAb_214,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Cancers_ovarian_214,VEGFA,18,6,0.3333,0.2752,1.2111,12,scored
147,imgt:mAb_457,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Chronic_lymphocytic_leukemia_(CLL)_457,CD22,18,8,0.4444,0.3428,1.2964,10,scored
148,imgt:mAb_1394,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Cancers_non-small_cell_lung_(NSCLC)_1394,MET,18,5,0.2778,0.3188,0.8713,13,scored
149,imgt:mAb_542,imgt:StudyProduct_Millennium_Pharmaceuticals_Inc_Cancers_542,GUCY2C,18,5,0.2778,0.1677,1.6565,13,scored
150,imgt:mAb_714,imgt:StudyProduct_CJSC_GENERIUM_Cancers_714,VEGFA,18,6,0.3333,0.2728,1.222,12,scored
151,imgt:mAb_196,imgt:StudyProduct_Amgen_Cancers_colorectal_(CRC)_metastatic_196,EGFR,18,9,0.5,0.4724,1.0584,9,scored
152,imgt:mAb_1187,imgt:StudyProduct_Leap_Therapeutics_GE_Junction_Cancer_1187,DKK1,18,12,0.6667,0.4919,1.3553,6,scored
153,imgt:mAb_580,imgt:StudyProduct_Emergent_Biosolutions_Cancers_prostate_580,FOLH1;CD3E,18,14,0.7778,0.6465,1.2031,4,scored
154,imgt:mAb_659,imgt:StudyProduct_Atridia_Pty_Ltd_Solid_tumors_659,PDCD1,18,12,0.6667,0.5909,1.1282,6,scored
155,imgt:mAb_1176,imgt:StudyProduct_Prestige_Biopharma_Cancers_pancreatic_1176,,,,,,,,no_target_or_ot
156,imgt:mAb_201,imgt:StudyProduct_Genmab_A/S_Non-cutaneous_T_cell_lymphoma_(NCTCL)_201,CD4,18,12,0.6667,0.5582,1.1943,6,scored
157,imgt:mAb_259,imgt:StudyProduct_Wyeth_Pharmaceuticals_Non-Hodgkins_lymphoma_(NHL)_259,CD22,18,6,0.3333,0.3424,0.9735,12,scored
158,imgt:mAb_290,imgt:StudyProduct_ImClone_Systems_Inc_Cancers_non-small_cell_lung_(NSCLC)_290,IGF1R,18,3,0.1667,0.2328,0.716,15,scored
159,imgt:mAb_640,imgt:StudyProduct_Janssen_Pharmaceuticals_inc_Lymphoma_diffuse_large_B_cell_(DLBCL)_640,CD19;CD3E,18,14,0.7778,0.603,1.2899,4,scored
160,imgt:mAb_526,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_bladder_526,CD274,18,13,0.7222,0.5926,1.2188,5,scored
161,imgt:mAb_660,imgt:StudyProduct_OncoMed_Pharmaceuticals_Solid_tumors_660,RSPO3,18,5,0.2778,0.2587,1.0739,13,scored
